Comment,Author,Date,Time,Score
i really enjoyed this video because itâ€™s explained in a really simple way and it made me and my friends understand how the human behaves,@renatahernandez8923,2024-12-06,18:45:29Z,2
amazing video ğŸ™Œ,@HiBiyaCh888,2024-11-13,19:50:17Z,3
"ok, i don't even have one of those dog breeds but i still take offense at them being called violent breeds.  i believe dogs become like their owners to a large extent.  violent people have violent dogs because they made them that way through example.",@dawnmatsui8256,2024-11-08,00:20:28Z,-7
ğŸ‰,@lensdark,2024-11-06,05:47:18Z,0
most people with addictions are either mentally unstable or mentally weak itâ€™s a characteristic,@DoubleDIKK,2024-11-04,14:32:38Z,-4
the dog part haha,@Lagerboyy,2024-11-04,05:43:35Z,-1
"u.s government intelligence attempted to homicide as a child then continues abusive psychological approaches to fish for the assumptions ideas and thoughts of the victim they have tried to homicide as a child:





abusive psychological techniques used on vulnerable populations with u s government intelligence surveillance. purposely inflicting mental disruption then referring to it as intrusive thoughts. here are some events that involved abuse of federal intelligence power and resources & threatening display of power:

michael quijano a navy recruiter who had a child with a black woman and was stationed by the navy to clark airforce base philippines '80s. at this time federal intelligence evaluated the navy recruiter as lustful and determined his relationship to the black woman was pure lust and not sincere. federal intelligence cia then used analyst intelligence eavrsdropping conversations to evaluate each parent and had the parents follow abusive instructions on their child so that later the years of influential scenarios and situations would structure psychological harm into the victim by strategizing years of situations and obtain personal information to be applied in inflict paranoia and confusion. this was the intelligence agency initial plan before the internet was ever created. today fbi cia participates in hacking and harrassment by using the established surveillance which was applied onto both the ex-wife and the navy recruiters family. federal intelligence uses the surveillance hacking to strategic observe and determine the best psychological influential bait to use on the victim that the agency refers freely as a "" n*gg*r. 

various psychological approaches are used to determine the best way to traumatize the victim who they attempted to homicide as a child and which the cia fbi staff refers to as a n-word then communicates to others remotely that the victim they want to murder through abusive forms of psychological approaches is that the victim they want to traumatize is confused. the federal intelligence uses their surveillance and eavesdropping equipment to attempt homicide with u.s government clearance to apply abusive psychological approaches and ongoing surveillance while referring to the victim they abused as a child as a n*gg*r. 
( fact - conroe texas michael quijano was under instructions to bring the black woman and black child to the feed store. federal intelligence communicates to michael that his black wife and the black child are animals)

( fact : michael quijano was paired with younger woman tammy busch) 

school used to have the black child be intimidated by affluent environment was called castle hills first baptist school. now school is referred to as christian school at castle hills

use of movie references because federal intelligence observed evaluated and considered the father or mother as a pair of actors insincere in their relationship. so movies are applied onto the couple as research investigation to protect an agency who supports the use of psychological practices to inflict harm into the victim they originally attempted to homicide as a child and now refers to the victim as a n*gg*r. as the agency presses for the victim to interact with them so they can evaluate and determine the ideas, assumptions and mood of the victim so they can observe ways to apply abusive psychological approaches and practices by remotely communicating to those around the victim they have attempted to homicide since 1980 before the internet was ever created.

today i still experience constant use of surveillance hacking and remote hidden communication to others who assist federal intelligence in forming traumatic results onto the test subject /victim.",@AshleyQuijano-p9o,2024-10-21,06:01:27Z,-37
"#2 although i think i'm being a bit off-topic, i think something like that can also be good for workplace issues. i.e., if your manager is upset with you, think of it from their perspective. or, if you are a manager, think of it from the employees perspective.

it can be amazing how often even some empathy can make a world of difference.

e.g., saying something like ""i have to do (insert task no-one wants to do, but is essential) sometimes as well and it's annoying but it's one of those really important that someone does it and right now, you're the only one that can it.""

i.e., just showing that yes, their feelings are valid, but we all need to do things maybe we shouldn't have to do, but they still need someone to do them and we happen to be that person. yes, it's sucks, but, to use one example, we are here to work and not play. maybe some work is something you shouldn't have to do, but right now isn't the right time to discuss this.

another example can be if an employees responds in a way that seems to be an angry/offended manor, rather then take a how dare you attitude, taking a 'i didn't mean to offend' attitude can work a lot better. sometimes, they might even be upset with themselves for being or sounding angry or and calm down and apologize right away. will it always work? i doubt it, but i think it's better then escalating it.",@ExplodingConsole,2024-10-10,06:42:24Z,19
okay then what would you say about the human heart ?,@noval115,2024-10-07,09:28:10Z,1
what would you say who speaks more than one languages ??,@noval115,2024-10-07,09:02:48Z,0
you have an annoying voice and sound as if you're announcing the benefits of a new soap sold by procter & gamble or that we are 9-years-old and must remain excited by the narration,@joegoldman3065,2024-10-07,03:26:53Z,0
self center minded negitiveas in democracy  ideology ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚,@CarlRoberts-h2v,2024-10-05,13:37:00Z,0
"silly question, does third-person pov correlate to introspection? old video, doubt someone will respond, lol. thanks!",@danielpanuco1371,2024-10-02,18:15:33Z,-3
human and animal behaviour is a very interesting study! i am obsessed with it soo much!  very good content ğŸ‘ğŸ‘,@Dk-gn7up,2024-09-02,06:37:59Z,6
#2 was a beautiful tip ğŸ™ thank you,@GSozei,2024-08-20,09:12:36Z,3
just the balance of chemicals. ğŸ‘‹,@jimmyit4722,2024-08-15,02:02:54Z,2
"the ignorance in this video behind the belief of violent breeds. there is some truth to this point but it's not about picking a "" violent breed"" because they're a violent person. pitbulls are known to be one of the more aggressive breeds but when i raised a pit bull she ended up being the sweetest thing on the face of the planet. if an aggressive owner owns a normally docile breed of dog that normally docile breed of dog will be a hostile dog i believe is the true point behind this part in the video",@matthewvoorhies7840,2024-08-14,18:05:14Z,-13
"i like the fact that you bought up about stepping back and seeing things from their side . not many actually do that. 
3:50 this i wil disagree with. people can't change their situations and if they live in the city in a high crime area doesn't make them a ball of stress and aggression.  
people are complex individuals.  we can't say that a place they live or how they are bought up will determine who or what they become. you can live in a beautiful house on the country side and hold a extreme amount of aggressive  tendency.  still a interesting video. some of it can be argued but then again that good science when it cam be.",@JanieAmericanIrish7777,2024-08-04,14:01:22Z,2
6:00 this one is not meğŸ™ğŸ™ğŸ™,@0888at,2024-08-03,08:50:13Z,0
"government intelligence studies behavior patterns and uses the results to change or provoke their victims.

u.s intelligence attempted homicide of a negro child in 1982. u s intelligence continues to monitor documents the events situations of the black crossdresser in san antonio texas to form ways to mentally provoke and overwhelm the minority in which they refer to the minority as a schizophrenic n*gg*r by their cyber division. the cia uses inner ear communicators to listen to conversations to determine the unspoken intentions of those they secretly listen to. the cia fbi supports a filipino man who was once married to a black woman and who originally attempted to homicide her negro child in the philippines. 2nd attempted homicide being conducted by isolating the minority and mentally provoking the individual by involving spies informants and making subtle suggestive threats through the use of intelligence resources and spying. 
- should those individuals without the resources knowledge or assistance to be concerned that an governmental intelligence surveillance agency is attacking them?
any person should be worried. especially if the psychological approach is to cause the person to wonder and ask questions while the intelligence teams observe the results of their thought provoking tactics do harm to defenseless minorities",@AshleyQuijano-p9o,2024-08-02,16:39:41Z,-1
ok thanks we can adopt to this,@BestProProduction,2024-08-01,07:26:19Z,2
things that happen at early age are usually more memorable,@SuccessMindset2180,2024-07-30,17:42:12Z,3
made by ai,@clookies9405,2024-07-13,08:19:38Z,0
if you dive really deep into the how and why? you'll find that they are actually the same!!!!!,@brianvigneau2074,2024-07-10,21:06:40Z,0
you are 100% rightğŸ‘,@HausikuAloys,2024-07-04,14:19:05Z,0
very educational  physiology i love â¤ï¸ it.,@shalenaporter18,2024-06-19,19:37:32Z,3
don't waste time.,@adammcgregor-d3y,2024-06-17,16:18:42Z,-2
no esta importante,@ByofBooob-po6ky,2024-06-15,13:54:59Z,-2
â™»ï¸ğŸŒğŸ•µğŸ»â€â™‚ï¸â˜¯ï¸ğŸ¥·ğŸ»ğŸ‘£ğŸŒŒ,@PeoplesGovernments,2024-06-13,16:37:22Z,0
"is there a reason to be happy?

a reason to be happy is that we are coming closer to the point where we can rise above our inborn egoistic desire, which makes us wish to enjoy for self-benefit alone, and which is the cause of all the negative phenomena in our lives since it can never be genuinely fulfilled. by rising above our egoistic desire, we rise to the desire of love and bestowal, i.e., to the quality of nature itself. then, out of our balance with nature's very own quality, we draw the positive forces dwelling in nature that fill us with a genuine sensation of happiness.

that is how we are designed. therefore, anyone who wishes to achieve genuine happiness needs to connect themselves with that very aspiration in others, and which dwells in nature, and then they will attract natureâ€™s positive forces that will enliven and uplift them.

whether we are happy materially or spiritually depends on the desires that we fulfill. material happiness comes from filling our desires to receive pleasure. spiritual happiness, however, comes from discovering and filling the desires to bestow. the difference between these two kinds of desires is like the difference between heaven and earth.

by receiving spiritual pleasure, we feel ourselves above time, space and motion, i.e., we enter a state where there exists no time, place, movement or changes. we simply rise above matter, above our material world that is based on our egoistic desires to enjoy for personal benefit alone. we then gain tremendous fuel and energy to continue our journey toward harmony with each other and nature.

let us hope that we all succeed in attaining such spiritual happiness.",@saracohen7577,2024-06-03,06:10:22Z,40
"how common is it that people have a face that they are showing and a face that they are hiding when it comes to two-faced behavior? many years ago i met a girl from the philippines who turned out to be a liar and a fraud. but those few of her friends that i have managed to come in contact with have all said the same thing ""that doesn't sound like maria are you certain that you have been talking to the right person"" what would the odds be that maria would be all sweet and kind towards her real life friends and relatives, while being a compulsive liar online? when she and i met she told me that she had just graduated from nursing school,  but some 2 years later there was a post on her third or 4th facebook profile that said ""i have just graduated from the lyceum of iligan foundation college, i want to thank all of my friends and family for their help and support during these 4 amazing years"" but there were no photos from the graduation cermony or graduation party or how she on another of her many fb profiles claimed that she graduated from a school called st michael's college highschool located in adelaide, australia. what would the odds be that maria would only be telling these tall tales online while being good and honest in real life?",@CharlesRaines4946,2024-05-15,23:42:00Z,20
can you please include the resources from which you get your studies within the description?,@rain_raii,2024-05-15,09:40:42Z,1
no such thing as a violent breed of dog.,@jedmccullough7809,2024-04-30,21:59:48Z,-4
rottweilers get my stamp of approval and i think i'm a so sigma that i my goal in life is living the van life,@bothompson-ov6ju,2024-04-21,19:51:27Z,2
y,@Life-line.v4l,2024-03-19,08:19:31Z,0
jy,@Life-line.v4l,2024-03-19,08:19:20Z,0
hy,@Life-line.v4l,2024-03-19,08:18:14Z,0
"i need 1m subscription
please please please help meeğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢",@Mujahidrafiqrehmani,2024-03-16,17:15:43Z,4
â¤â¤â¤â¤,@MohdArbaj-jn5bp,2024-02-29,00:43:39Z,0
hi,@GulshanKumar-kj7lh,2024-02-19,15:38:25Z,0
"is there really such a thing as normal and abnormal behavior? can autistics be normal mentally and behaviorally, or is it automatically a no for them? factually, not subjectively, just to clarify.",@johnrainsman6650,2024-02-08,22:47:39Z,1
"ok, the one about dogs is such bullshit.....sorry---""aggressive"" breeds that they are implying - any dog can be aggressive- just go out and drive out into the country and see how some country person's dog reacts to strangers pulling up.  or as they bark and run along the fence with you.....tons of ""aggressive"" breeds are big mush pots if raised correct.  some of the situations he is describing they are being used as guard dogs!!  and as far as people that self isolate that is not socializing your dog, so your dog gets protective aggressive.....that is why you socialize your dogs!!",@alynneflanery9918,2024-02-01,23:44:55Z,0
hello â¤,@Kaliyasportvideos,2024-01-30,09:18:50Z,0
subscribe please,@AfzalAlibhuttO,2024-01-23,19:52:28Z,1
"i was first convinced that my father had a psychological problem when i gave him a brand new high quality winter jacket yet he would not wear it insisting to keep the jacket he found at the run down old nightclubs he had bought... this junk ratty jacket wasn't anywhere near as warm and made him look pitiful as it finally dawned on me that was his intention all along. i had seen several odd behaviors out of him but this was the bombshell  that made me realize he was just like his brothers who could never keep anything nice or look vaguely presentable choosing instead to walk around with bushy unkempt hair ill-fitting clothes and worn out shoes despite very well having a pocket full of money and a surprisingly large bank account

they had a strong mother who died early and a weak simpering father who left the family likely to pursue a gay lifestyle

six siblings in all and three males lived rough disheveled lifestyles while all three females were seemingly healthy and normal in every way",@Howleebra,2024-01-20,02:42:14Z,5
â¤â¤,@Wonderr_kids,2024-01-18,13:22:39Z,0
it is good knowledge,@hamdanabdulla8507,2024-01-10,03:22:19Z,2
ğŸ‘½,@syklystevens2581,2024-01-08,01:20:40Z,0
ğŸ¤–ğŸ¤–ğŸ¤–ğŸ¤–,@Jutubowefakty,2024-01-06,10:06:56Z,0
435 is where you got my interest,@loganchoy123,2024-01-06,03:02:39Z,0
"thanks 4 posting. 
so it's dopamine that causes me 2 think and create realistic avenues 2 a problem, which in turn add more avenues 2 connected answers n or questions. 

nice!",@Daisuke2788,2024-01-05,02:35:48Z,2
way,@cecenumanHOME,2023-12-18,06:45:14Z,0
good,@Highlights_123,2023-12-17,23:06:01Z,2
ğŸ‘ğŸ»,@uyangab7517,2023-12-14,11:16:40Z,0
interesting,@cybeledalmas-lewis2120,2023-12-11,21:53:30Z,2
ğŸ‘ğŸ‘ğŸ‘ğŸ‘ 1:11,@Junio-en9wb,2023-12-10,09:32:33Z,0
thanks,@Kutty_thala_aji,2023-12-10,08:23:16Z,1
i must be a super smart person because i have always been  dreamer.,@shawnagunn9054,2023-12-07,02:42:36Z,4
"i'm fascinated by the wisdom in this piece. a book with similar subjects inspired a new journey of discovery for me. ""the art of meaningful relationships in the 21st century"" by leo flint",@John83118,2023-12-05,00:06:33Z,4
ğŸ™....very informative... awakening....ğŸ¤,@agusheryan2583,2023-12-04,19:04:13Z,0
"my (very kind) family got a rottweiler after we were robbed. we were hoping it will grow up and protect us. cutest thing ever, loved everyone and everything except our cat ğŸ˜‚",@iuliia8051,2023-11-22,13:50:06Z,1
"this video literally said nothing i didnâ€™t know and iâ€™ve heard other people say all this too. like what happens to you when youâ€™re young affecting you, and thinking about your problems from an objective point is more effective. idk. when i read the word interesting i automatically think of new information",@jasonmalone1040,2023-11-14,04:28:36Z,5
interesting,@tongxing-x6v,2023-11-12,11:37:49Z,2
the remonesence bump affects alot of people let me tell u why coz they had trauma as a child bullied ect and carry it out into their adult wood,@Theuniverseisours470,2023-11-08,17:36:50Z,-2
"dog have your personality, is like the childrens you raise, is like the mirror !!!",@vera9610,2023-10-20,10:16:23Z,3
i've been doing drugs for 30 years. and proud of it,@Keith-tz2jy,2023-10-15,20:48:16Z,2
i would like to know does talking to yourself happen because you live alone or does it come from a certain age,@paddydutton4670,2023-10-12,17:27:05Z,2
creation and behavior? god and humans? ğŸ¤”,@SajiSNairNair-tu9dk,2023-10-09,13:41:17Z,0
interesting ğŸ˜Š,@meditiger6682,2023-10-06,08:33:10Z,2
really like studying psychology about human,@BettyNi-wk2zi,2023-09-25,02:18:51Z,2
daydreaming could mean high levels of intelligence. or daydreaming could simply mean adhd...........,@B.D.TRX4,2023-09-14,00:47:55Z,-4
lol my neighbor lady rescues pit bulls. she is the sweetest person ever. this part of the video was ridiculous.... she rescues them to give them better lives. but yet they are considered some of the most dangerous breeds of dogs there are. so i guess that means she's a dangerous person too??,@B.D.TRX4,2023-09-14,00:47:26Z,-2
"#1 never give out advice, #2 mind your business, #3 don't worry about others, #4 everyone only look out only for themselves, even though they say they care, #5 don't lend people money, #6 if you go out of your ways, it will always backfire on your face and there are more...",@lancesay,2023-09-04,02:27:50Z,-2
"rejection of a job you applied and knowing full well, you did not meet the minimum requirement at 4:42.",@lancesay,2023-09-04,01:23:36Z,-2
"that guys voice is so annoying, i wonder what that says about me",@GreatArcana,2023-08-01,23:48:23Z,2
dogs arenâ€™t â€œviolentâ€.,@TheGoldenBone,2023-07-21,17:27:56Z,0
get off my internet,@perriannesimkhovitch1127,2023-07-15,15:12:51Z,-1
the brain is a terrible things to waist united states air force mascots ğŸ™ğŸ™ agape love cute cute no spam alerts please ğŸµğŸµ,@sylviahudson5737,2023-06-24,16:36:28Z,2
thank you for sharing,@NicoFornias,2023-06-22,02:19:15Z,1
love psychology! thanks for the content! ğŸ¤©,@chloejones9647,2023-06-18,04:19:13Z,3
"as a chimpanzee, this is very interesting.",@Daeherof,2023-06-17,15:54:01Z,0
i hate your voice but love the info!,@AbianahTheGemini,2023-06-03,15:38:12Z,0
i just want to be more social ğŸ˜¢,@Sun-God2,2023-05-29,03:17:03Z,2
"the biggest problem with human beings is high self esteem. get over yourselves, you ludicrous apes! youâ€™re really not impressive at all.",@SuperTonyony,2023-05-25,21:33:25Z,-2
very useful info thanksâœŒï¸,@Elephantb,2023-05-16,23:38:42Z,2
so true,@zhvanrekani1408,2023-05-15,10:01:42Z,0
while i have my morning run: what real men think about women chatting nights with.... when their life partners sleep around the corner?,@adrianakulasza4256,2023-05-12,05:20:53Z,1
more great lessons keep up the amazing work â¤,@joseabad2552,2023-04-28,13:06:14Z,5
yeye,@MajkenNilssonSA22BNovagymnasiu,2023-03-23,12:21:51Z,0
"we need a video on lateral thinking and human behavior associated with it, personal request",@hemakumar9593,2023-03-21,14:57:04Z,0
i am not an animal i am a spirit in a body made in gods image when the body dies the real us inside known as the soul continues on the bible says to to be absent from the body is to be present with the lord and after this the judgement .,@proof2.073,2023-03-13,12:41:39Z,0
these are theories please change the title. facts? come on,@denisesmith-rv2ow,2023-03-11,00:10:36Z,1
"here's another interesting fact: we imitate the habits, behavior, mannerisms, gestures and facial expressions of the people we most often associate with. it's called the chameleon effect.",@annahilliard4875,2023-03-10,23:17:34Z,2
i have more conversations in my head than i do in real life. i'm the only one who knows what i'm talking about. peace,@traceycrouch5532,2023-03-02,06:48:59Z,3
"i can imagine wanting to live longer
in this white mans world we live in 
meh",@jimmyjones1266,2023-02-22,01:25:34Z,-1
"what would you do with the spot light if the most important individuals were watching and by most important i mean the best behaving individuals of all time who risk their only life improving life including standing up for the best behaving individuals of all time against such dangerous individuals who unjustly remote control individuals such as unjustly torturing the best behaving little children sexually and so on such as extremely dangerous individuals i said?

would you be impressive to help the best behaving individuals of all time?

i publicly stand up for the best behaving little children,best behaving individuals,best behaving sons,best behaving daughters,best behaving mothers,best behaving fathers,best behaving grand mothers,best behaving grand fathers,best behaving aunt's, best behaving uncle's,best behaving great aunt's,best behaving great uncles,best behaving great grand mothers, best behaving great grandfathers, best behaving friends,best behaving strangers,best behaving white house employees,best behaving c.i.a. employees,best behaving n.s.a employees,best behaving f.b.i employees and so on for the best behaving individuals of all time and so on who i mean against who unjustly remote control such best behaving little children,best behaving individuals,best behaving white house employees,best behaving c.i.a. employees, best behaving f.b.i. employees, best behaving n.s.a. employees and so on who i mean. 

we are supposed to be helping each other and the best behaving individuals are exactly who are worthy of standing up for such as it's some of how to correctly respect, honor and so on our strength of the human race is to support our best behaving individuals publicly.

our strength of the human race which is our best behaving individuals of the human race will how i mean publicly stand up for the best behaving little children,best behaving individuals,best behaving sons,best behaving daughters,best behaving mothers,best behaving fathers,best behaving grand mothers,best behaving grand fathers,best behaving aunt's, best behaving uncle's,best behaving great aunt's,best behaving great uncles,best behaving great grand mothers, best behaving great grandfathers, best behaving friends,best behaving strangers,best behaving white house employees,best behaving c.i.a. employees,best behaving n.s.a employees,best behaving f.b.i employees and so on for the best behaving individuals of all time and so on who i mean against who unjustly remote control such best behaving little children,best behaving individuals,best behaving white house employees,best behaving c.i.a. employees, best behaving f.b.i. employees, best behaving n.s.a. employees and so on who i mean. 

so if having the attention of the best behaving individuals and so on i am trying to say something important such as we need behaviors to improve, quality of life to improve and so on not more psychotic mass shootings, psychotic individuals unjustly remote controlling individuals and so on so we should want the best behaving individuals to help with such important topics and it's exactly the best behaving individuals who will publicly stand up for the best behaving individuals and so on how i mean against such dangerous individuals if need be. so i think we should do the best behaviors that we can do so we can help the best behaving individuals of all time improve behaviors and so on how i mean such as by trying to improve our best behaviors, evolution of improving behaviors and so on to help more positivity occur, celebrating life, happiness, honor, respect, caring, loving,fun, inspiring and so on kind of positivity such as to help improve behaviors,life and so on how i mean.

i support amazingly correct behaviors such as freedom of speech concerning doing amazingly correct speech for example. i publicly stand up for the best behaving individuals,best behaving little children of gov. employees,best behaving gov. employees and so on against psychotic individuals who unjustly remote control individuals such as unjustly remote controlling individuals to unjustly torture the best behaving little children of the united states government employees and so on sexually, mentally, physically and so on how i mean. i don't believe in supporting psychotic behaviors as if we should accept that they are behaviors that are acceptable how i mean. some behaviors are not acceptable and speech is behaviors. so i support doing amazingly correct behaviors publicly and having it evolving into more amazingly correct behaviors in the future and it be better and better during life. we don't need more horrible speech such as supporting terrorists, rapists and so on kind of behaviors how i mean. we don't need more bad behaviors of saying to abuse females,males and so on such as we need more of the human race standing up for the best behaving individuals and so on who really contribute to helping life be caring, loving, respectful,fun, happy and so on how i am referring about. i think arts, fitness, imaginative spirituality, benevolence, courage, honor, love, care and such are very important things and we need freedom of speech to help improve such things more and more efficiently and we don't need more and more of freedom of speech of such hate speech how i mean. sure it's important to mention the problem, but we need to support our strength and our strength is the best behaving individuals not bad people so please try to remember to support the amazingly correct behaviors during life more so than to support bad behaviors freedoms how i am referring about. i do believe we need to support more positive things rather than defending bad behaviors. thanks for the positive things you do during life and i hope you each have amazingly awesome life ahead of each of you how i mean and who i am referring about.",@MichaelStugart,2023-02-18,23:28:47Z,166
i do not like agressive people,@gewoonik4335,2023-02-16,22:10:52Z,2
"try shrinking those who shrink you
its fun .
when you see messed up people passing judgment acting like there shit smells of jasmine

everyone can sling ğŸ’©",@MattMussett,2023-02-05,17:16:02Z,3
ok but what can you say for the ones with no emotions,@stevensingh9609,2023-01-26,01:42:56Z,-1
"""day dreaming is intelligent..."" wonderful..!!",@buddhaneosiddhananda8499,2023-01-24,02:47:13Z,0
